video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=UqPcHQfsMCk&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@livinginlosangelescaliforn577,Living in Los Angeles California,Living in North Hollywood Los Angeles California [FULL VLOG TOUR],7.5K,1 year,Join me as we take a tour of North Hollywood. As a gateway community between metro Los Angeles and the San Fernando Valley ...,2024-01-27 21:35:54.744393
/watch?v=yC4TuNE_GSM&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@Parker-Green,Parker Green,The TOP Things To Do in NORTH HOLLYWOOD 2023! NoHo HIDDEN GEMS in Los Angeles Travel Guide & Tour,2.9K,1 year,"You've probably heard of Hollywood, but what about North Hollywood?! Today we're going to one of LA's most underrated ...",2024-01-27 21:35:54.747249
/watch?v=Uvt_cixkvXw&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@senoronionsarchives,Señor Onion’s Archives,The North Hollywood Shootout,212K,2 years,"The North Hollywood shootout was a confrontation between two heavily armed and armored bank robbers, Larry Phillips Jr. and ...",2024-01-27 21:35:54.750369
/watch?v=oVvn2Vw63MU&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@Mister.V.,Mister V,4K Los Angeles California. North Hollywood to West Hollywood,3.1K,10 months,Los Angeles California. Driving from North Hollywood to West Hollywood #losangeles #hollywood #california #trending ...,2024-01-27 21:35:54.752746
/watch?v=Di0u8wBJ1fg&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@KTLA5,KTLA 5,North Hollywood pizza shop employees take down armed robber,138K,7 days,Employees of a pizza shop in North Hollywood took down an armed robber and held him at bay until police could arrest him ...,2024-01-27 21:36:02.965002
/watch?v=yKc3ggtGLnQ&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@PopoMedic,Popo Medic,The Heist & Battle of North Hollywood…,3.4M,1 year,"The North Hollywood shootout was a confrontation between two heavily armed and armored bank robbers, Larry Phillips Jr. and ...",2024-01-27 21:36:02.970685
/watch?v=sSkJHLf_7eI&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@Foxla,FOX 11 Los Angeles,Homeless crisis haunts North Hollywood,14K,5 months,"Since the LA Family Housing moved people into North Hollywood, residents say crime and violence has increased in the area.",2024-01-27 21:36:02.973335
/watch?v=ArO9t7niVKE&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@KTLA5,KTLA 5,Nightmare living conditions in North Hollywood,25K,3 months,Residents in a North Hollywood apartment building say management have neglected the facility for so long that they are dealing ...,2024-01-27 21:36:02.975894
/watch?v=-STp7CChXKw&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@superiorkarco4943,SuperiorKar Co,"2008 Honda Ridgeline RTL for sale in North Hollywood, CA",54,2 days,Click here to learn more about this vehicle: https://www.superiorkar.net/vehicle-details/1e06cd3c697dce42bbdc7f2b371b1256 ...,2024-01-27 21:36:02.978761
/watch?v=WxnZkzhprzg&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@RockstarEater,Rockstar Eater,Exploring NORTH HOLLYWOOD: Is it Like Central Hollywood?,7.2K,2 years,"Steve Cha (aka Rockstar Eater) visits the northern part of Hollywood, in a city called North Hollywood, which is above Universal ...",2024-01-27 21:36:02.983648
/watch?v=RKPxEMts56Y&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@ActionKid,ActionKid,Los Angeles LIVE Exploring North Hollywood (Part 1),14K,Streamed 2 years,Los Angeles LIVE Exploring North Hollywood. The live stream ended abruptly due to Verizon having poor service in the area.,2024-01-27 21:36:02.986647
/watch?v=SMRfyX1xC4s&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@0nlyBim,0nlyBim,Zero Hour: North Hollywood Shootout (Remastered),70K,2 years,Zero Hour - North Hollywood Shootout (1080p) Upscaled using Topaz Video Enhance AI Buy Zero Hour on Prime video; ...,2024-01-27 21:36:02.993127
/watch?v=LRv5fuBRMwY&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@senoronionsarchives,Señor Onion’s Archives,North Hollywood Shootout,14K,2 years,"The North Hollywood shootout was a confrontation between two heavily armed and armored bank robbers, Larry Phillips Jr. and ...",2024-01-27 21:36:02.997612
/watch?v=rlmHFkcHQOk&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@RainaHuang,Raina Huang,"6,000 CALORIE PIZZA CHALLENGE at Joe Peep's in North Hollywood, CA!! #RainaisCrazy",32K,3 days,Like and subscribe the video if you enjoyed it :) Thank you for the support!! Email Q and A and pictures to: ...,2024-01-27 21:36:03.003912
/watch?v=ckP93WJPT-8&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@Foxla,FOX 11 Los Angeles,North Hollywood apartment building owners sued over alleged gang activity,36K,1 year,Los Angeles City Attorney Mike Feuer Thursday urged Angelenos to report unsafe and violent conditions in their neighborhood ...,2024-01-27 21:36:03.006645
/watch?v=jI-oerR3eZ0&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@LawAndCrime,Law&Crime Network,North Hollywood Shootout Changes LAPD SWAT Officer’s Life Forever — The Case I Can’t Forget,177K,10 months,"A bank robbery, a massive police chase & one of the largest shootouts with police in history. Former LAPD SWAT officer Rick ...",2024-01-27 21:36:03.009283
/watch?v=ZYYIoVuDUCU&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@graveexplorations,Grave Explorations,"Exploring Valhalla Cemetery, North Hollywood, CA - Famous Actors and Aviators Graves",117K,5 years,Come walk with me through the fascinating history of Valhalla Memorial Park in North Hollywood California. We will also look into ...,2024-01-27 21:36:03.013006
/watch?v=NsFg1833M88&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@DonutOperator,Donut Operator,North Hollywood Bank Robbery Shootout of 1997,2.9M,5 years,"The North Hollywood shootout was a confrontation between two heavily armed and armored bank robbers, Larry Phillips Jr. and ...",2024-01-27 21:36:03.015647
/watch?v=OuIsVarRa14&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@TheNSTLKIAChannel,The NSTLKIA Channel,A Full Timeline Of The North Hollywood Shootout,34K,1 year,"February 28, 1997. Two men exit a 1987 Chevy Celebrity sedan, outside of a Bank of America Branch in North Hollywood, ...",2024-01-27 21:36:12.338903
/watch?v=0YjWXItjbxw&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@user-vo7pw8um9k,HS-Basketball Game,Crossroads vs. Oakwood High School Basketball LIVESTREAM,No,1 minute,"Watch Match Live Here : https://www.youtube.com/@HSBasketballGame-xq4sg The Oakwood (North Hollywood, CA) varsity ...",2024-01-27 21:36:12.342197
/watch?v=N1IQrUsoNSw&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@OscarNGKWilliamson,OscarNGKWilliamson,California High School Boys Basketball : Kaiser @ San Bernardino [LIVESTREAM],No,10 hours,"... https://www.youtube.com/@HIGHSCHOOLBASTTBALL2024/about The Campbell Hall (North Hollywood, CA) varsity basketball ...",2024-01-27 21:36:12.343546
/watch?v=f0vLWxMMroA&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@WesNGKNorris,WesNGKNorris,California High School Boys Basketball : Ayala vs. Marquez [LIVESTREAM],No,10 hours,"... Watch Here : https://www.youtube.com/@HIGHSCHOOLBASKETBAL2024/about The Oakwood (North Hollywood, CA) varsity ...",2024-01-27 21:36:12.344894
/watch?v=K1ctszweffU&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@JoleneJAVContreras,JoleneJAVContreras,"Ayala vs. Marquez California Boys Basketball [Jan 27, 2024]",No,31 minutes,"... https://www.youtube.com/@HIGHSCHOOLSBASKETBALLS/about The Oakwood (North Hollywood, CA) varsity basketball team ...",2024-01-27 21:36:12.346168
/watch?v=7iIObEwOoTA&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@Vikings-qVLP211,Sabres,Crossroads Vs Oakwood - High School Basketball LIVE STREAM‎,No,1 hour,Stream Games To Day Crossroads vs Oakwood High School Basketball Stream Here Free: ...,2024-01-27 21:36:12.347391
/watch?v=Z0rIJY8aUDk&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@SloaneJAVMurillo,SloaneJAVMurillo,"LIVE : Ayala vs. Marquez California Boys Basketball [Jan 27, 2024]",No,11 minutes,"... https://www.youtube.com/@HIGHSCHOOLBASKETBALL11756/about The Oakwood (North Hollywood, CA) varsity basketball ...",2024-01-27 21:36:12.348838
/watch?v=ak7zkxCPQkI&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@AmarisJAVVelez,AmarisJAVVelez,"Ayala vs. Marquez California Boys Basketball [Jan 27, 2024]",No,28 minutes,"Ayala Vs Marquez, Watch Here : https://www.youtube.com/@SportsLiveToday2023/about The Oakwood (North Hollywood, CA) ...",2024-01-27 21:36:12.350833
/watch?v=FmvWVONmtO4&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@NBCLA,NBCLA,North Hollywood Bank Shootout | I Was There When... S1 E3 | NBCLA,66K,1 year,Two heavily armed bank robbers in body armor exchanged nearly 2000 rounds with officers outside a North Hollywood bank on ...,2024-01-27 21:36:12.352210
/watch?v=9wbNabuP6aM&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@HungryPassport,Hungry Passport,TOP 10 Things to do in LOS ANGELES - [2023 LA Travel Guide],934K,1 year,"In this video, you'll see the Top 10 things to see and do in Los Angeles plus bonus tips at the end of the video. The suggestions ...",2024-01-27 21:36:12.354060
/watch?v=OifDokhUqOA&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@CompaYorch,COMPA YORCH,North Hollywood CA🇺🇸 / POR SUS CALLES,2K,1 year,"Acompañame a dar un recorrido por esta bonita ciudad, a petición de un fiel suscriptor del canal que vivió mas de 20 años en ...",2024-01-27 21:36:12.355244
/watch?v=PzyL0FTA84M&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@KTLA5,KTLA 5,Violent follow-home robbery caught on camera in North Hollywood,128K,2 months,Police are searching for the suspects behind a series of violent follow-home robberies across North Hollywood. Surveillance ...,2024-01-27 21:36:12.356717
/watch?v=zY-O9_OlWQ0&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@NBCLA,NBCLA,Crews Cleaning Up Homeless Encampments in North Hollywood | NBCLA,16K,2 years,"——— Don't miss an NBCLA video, subscribe here: https://bit.ly/2NnofFF For more, visit NBCLA.COM here: https://bit.ly/2uB6niE ...",2024-01-27 21:36:12.357910
/watch?v=wZg4mcYkIwU&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@LANewsArchive,LA News Archive,"North Hollywood Bank Shootout_February 28, 1997",5M,10 years,Raw footage from the North Hollywood Bank Shootout. The North Hollywood shootout was an armed confrontation between two ...,2024-01-27 21:36:12.359194
/watch?v=mF4Bi5zUgHU&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@toddntasha,THE PODCAST WITH TODD N TASHA,Moving to North Hollywood Arts District | What you need to know,2.4K,2 years,LA vlog: If you're moving to Los Angeles area and thinking about moving to North Hollywood Arts district then watch this video.,2024-01-27 21:36:12.360455
/watch?v=z9tpcKPxIv0&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@iamalyshaj,Alysha Johnson,North Hollywood Living: Brand NEW Cozy Tiny Box Studio Apartment Tour In LA,2.4K,10 months,Perks include: exclusive apartment tour videos chosen BY YOU early access to upcoming videos apartment tour request ...,2024-01-27 21:36:12.361732
/watch?v=kk7ydQ0oIN4&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@creatinginvestmentsprojects,Karen Rodriguez,"4944 Denny Ave North Hollywood, CA",1.8K,11 months,4944 Denny Ave Sales Listing Video.,2024-01-27 21:36:12.362910
/watch?v=fIS95Nw1pA4&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@FBIDeclassified1,FBI Declassified,The Pair of Robbers That Ravaged North Hollywood in a 44 Minute Fire Fight,21K,5 months,The Pair of Robbers That Ravaged North Hollywood in a 44 Minute Fire Fight- The North Hollywood Shootout In the heart of North ...,2024-01-27 21:36:12.364734
/watch?v=18SMha1o7L8&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@IvyAquino,Ivy Aquino,"Birthday Dinner at Spumante ( North Hollywood, Ca)",2.3K,2 years,Celebrated Myrna's birthday at Spumante North Hollywood! Filmed using iphone13 pro max. : Luke Bergs: ▷Youtube: ...,2024-01-27 21:36:20.789177
/watch?v=KfuYammMfmk&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@Davidsellsla,David Emanuel Real Estate - The Emanuel Group,"For Sale North Hollywood- 7868 Vanscoy Ave North Hollywood, CA",262,2 years,"Welcome to 7868 Vanscoy Ave. Located in the heart of North Hollywood, this 3 bedroom 2 bathroom home features over 1275 ...",2024-01-27 21:36:20.790547
